"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","400","has title","chromium","Mon Sep 22 07:13:49 UTC 2025","passed","Mon Sep 22 07:13:49 UTC 2025","","example.spec.ts","",""
"","439","get started link","chromium","Mon Sep 22 07:13:52 UTC 2025","passed","Mon Sep 22 07:13:53 UTC 2025","","example.spec.ts","",""
"","403","visual comparisons","chromium","Mon Sep 22 07:13:53 UTC 2025","passed","Mon Sep 22 07:13:53 UTC 2025","","example.spec.ts","",""
