"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","347","has title","chromium","Mon Sep 22 07:20:33 UTC 2025","passed","Mon Sep 22 07:20:33 UTC 2025","","example.spec.ts","",""
"","385","visual comparisons","chromium","Mon Sep 22 07:20:35 UTC 2025","passed","Mon Sep 22 07:20:35 UTC 2025","","example.spec.ts","",""
"","407","get started link","chromium","Mon Sep 22 07:20:35 UTC 2025","passed","Mon Sep 22 07:20:35 UTC 2025","","example.spec.ts","",""
