"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","has title","chromium","Fri Oct 24 15:46:18 UTC 2025","passed","Fri Oct 24 15:46:18 UTC 2025","","example.spec.ts","",""
"","424","visual comparisons","chromium","Fri Oct 24 15:46:20 UTC 2025","passed","Fri Oct 24 15:46:20 UTC 2025","","example.spec.ts","",""
"","397","get started link","chromium","Fri Oct 24 15:46:19 UTC 2025","passed","Fri Oct 24 15:46:20 UTC 2025","","example.spec.ts","",""
