"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","375","visual comparisons","chromium","Mon Oct 27 07:42:40 UTC 2025","passed","Mon Oct 27 07:42:40 UTC 2025","","example.spec.ts","",""
"","385","get started link","chromium","Mon Oct 27 07:42:39 UTC 2025","passed","Mon Oct 27 07:42:40 UTC 2025","","example.spec.ts","",""
"","408","has title","chromium","Mon Oct 27 07:42:37 UTC 2025","passed","Mon Oct 27 07:42:38 UTC 2025","","example.spec.ts","",""
"","415","login page","chromium","Mon Oct 27 07:42:40 UTC 2025","passed","Mon Oct 27 07:42:41 UTC 2025","","saucedemo.spec.ts","",""
